ma_don,ma_kh,san_pham,danh_muc,so_luong,don_gia,ngay_dat,khu_vuc
D02615,KH33,Tai nghe,Dien tu,1,47.0,2024-05-13,Nam
D02616,KH07,Noi com dien,Gia dung,7,59.5,2024-07-06,Bac
D02617,KH22,Sach Spark,Sach,8,24.7,2024-05-01,Bac
D02618,KH26,Tai nghe,Dien tu,1,46.1,2024-07-18,Trung
D02619,KH14,Dien thoai,Dien tu,2,744.2,2024-12-11,Bac
D02620,KH13,Sach Python,Sach,9,21.4,2024-06-29,Bac
D02621,KH24,Quan jean,Thoi trang,1,35.1,2024-12-23,Bac
D02622,KH05,Sach Spark,Sach,1,23.3,2024-08-23,Bac
D02623,KH27,May xay,Gia dung,8,39.8,2024-11-20,Bac
D02624,KH07,Sach Spark,Sach,4,26.5,2024-03-22,Trung
D02625,KH38,Dien thoai,Dien tu,1,809.4,2024-10-11,Bac
D02626,KH37,Dien thoai,Dien tu,2,850.1,2024-09-27,Bac
D02627,KH11,Ao thun,Thoi trang,9,12.1,2025-01-26,Bac
D02628,KH39,Noi com dien,Gia dung,10,55.6,2024-07-01,Bac
D02629,KH32,Laptop,Dien tu,2,1433.2,2024-05-02,Trung
D02630,KH15,Quan jean,Thoi trang,3,33.3,2024-04-11,Trung
D02631,KH01,Noi com dien,Gia dung,3,56.7,2024-03-31,Bac
D02632,KH29,Noi com dien,Gia dung,4,52.0,2024-09-04,Trung
D02633,KH37,Sach Spark,Sach,9,24.7,2024-06-12,Bac
D02634,KH26,Dien thoai,Dien tu,2,743.1,2024-05-24,Nam
D02635,KH07,Quan jean,Thoi trang,9,36.0,2024-10-24,Trung
D02636,KH35,Laptop,Dien tu,2,1575.6,2024-10-16,Bac
D02637,KH17,Tai nghe,Dien tu,2,48.1,2024-11-03,Bac
D02638,KH32,Noi com dien,Gia dung,10,50.0,2024-12-24,Nam
D02639,KH06,Noi com dien,Gia dung,3,60.4,2024-11-13,Trung
D02640,KH17,Quan jean,Thoi trang,11,35.3,2024-10-05,Nam
D02641,KH02,Sach Spark,Sach,11,24.4,2024-04-21,Bac
D02642,KH37,Laptop,Dien tu,1,1376.2,2024-05-05,Bac
D02643,KH09,Sach Spark,Sach,4,27.4,2024-09-26,Trung
D02644,KH12,Giay the thao,Thoi trang,11,65.7,2024-10-17,Nam
D02645,KH12,Noi com dien,Gia dung,1,57.6,2024-04-25,Bac
D02646,KH37,Dien thoai,Dien tu,2,842.1,2024-06-30,Trung
D02647,KH18,Laptop,Dien tu,1,1620.7,2024-11-06,Nam
D02648,KH13,Ao thun,Thoi trang,3,13.6,2025-02-27,Trung
D02649,KH06,Sach Python,Sach,10,20.8,2024-06-18,Bac
D02650,KH15,Sach Python,Sach,5,20.1,2024-06-18,Nam
D02651,KH09,Sach Spark,Sach,10,25.6,2024-10-29,Bac
D02652,KH21,May xay,Gia dung,2,38.6,2024-05-13,Nam
D02653,KH37,Sach Python,Sach,8,18.8,2024-12-18,Trung
D02654,KH11,Dien thoai,Dien tu,3,743.1,2024-11-21,Nam
D02655,KH14,Giay the thao,Thoi trang,11,58.4,2024-12-24,Nam
D02656,KH07,Laptop,Dien tu,2,1563.8,2024-05-07,Bac
D02657,KH05,Dien thoai,Dien tu,1,806.9,2025-02-03,Trung
D02658,KH22,Noi com dien,Gia dung,4,57.3,2024-08-18,Nam
D02659,KH05,Tai nghe,Dien tu,3,44.5,2025-01-28,Bac
D02660,KH03,Sach Spark,Sach,1,24.3,2024-07-30,Bac
D02661,KH13,Dien thoai,Dien tu,3,846.9,2024-09-26,Trung
D02662,KH29,Tai nghe,Dien tu,1,43.7,2024-12-14,Bac
D02663,KH03,Tai nghe,Dien tu,2,46.4,2024-04-25,Nam
D02664,KH24,Giay the thao,Thoi trang,7,56.3,2024-06-07,Trung
D02665,KH38,Sach Python,Sach,4,20.2,2024-05-03,Trung
D02666,KH03,Sach Python,Sach,11,21.7,2024-07-08,Bac
D02667,KH10,Ao thun,Thoi trang,11,13.7,2024-05-17,Bac
D02668,KH25,Ao thun,Thoi trang,5,12.8,2024-08-08,Trung
D02669,KH29,Noi com dien,Gia dung,5,53.9,2024-05-05,Bac
D02670,KH31,Quan jean,Thoi trang,6,37.9,2024-07-18,Nam
D02671,KH32,Sach Spark,Sach,8,26.1,2024-07-29,Nam
D02672,KH35,Giay the thao,Thoi trang,11,54.6,2024-06-17,Nam
D02673,KH27,May xay,Gia dung,6,36.7,2024-10-29,Trung
D02674,KH06,Dien thoai,Dien tu,3,833.0,2024-05-16,Bac
D02675,KH02,Quan jean,Thoi trang,2,35.2,2024-10-05,Bac
D02676,KH27,May xay,Gia dung,8,39.5,2024-08-02,Bac
D02677,KH30,Ao thun,Thoi trang,5,12.6,2024-08-02,Nam
D02678,KH02,Noi com dien,Gia dung,9,56.7,2024-09-06,Bac
D02679,KH35,Sach Spark,Sach,11,25.5,2024-07-24,Nam
D02680,KH33,Ao thun,Thoi trang,11,12.9,2024-12-13,Nam
D02681,KH14,Quan jean,Thoi trang,9,36.4,2025-01-06,Trung
D02682,KH32,Giay the thao,Thoi trang,3,63.5,2024-06-18,Nam
D02683,KH02,Noi com dien,Gia dung,6,57.8,2024-11-13,Trung
D02684,KH13,Dien thoai,Dien tu,3,759.2,2025-01-08,Bac
D02685,KH21,Dien thoai,Dien tu,1,862.5,2024-09-26,Bac
D02686,KH30,May xay,Gia dung,1,38.4,2024-08-14,Nam
D02687,KH03,Quan jean,Thoi trang,9,36.7,2024-04-05,Bac
D02688,KH38,Giay the thao,Thoi trang,5,64.3,2025-01-05,Bac
D02689,KH28,Ao thun,Thoi trang,1,11.4,2025-02-28,Bac
D02690,KH15,Dien thoai,Dien tu,3,784.3,2024-03-08,Trung
D02691,KH31,Sach Spark,Sach,8,26.8,2024-07-20,Bac
D02692,KH05,Sach Python,Sach,8,18.1,2024-10-04,Nam
D02693,KH31,Ao thun,Thoi trang,4,11.7,2024-07-14,Bac
D02694,KH31,Noi com dien,Gia dung,3,52.3,2024-08-01,Nam
D02695,KH33,Sach Python,Sach,10,21.3,2024-06-12,Nam
D02696,KH17,Sach Spark,Sach,2,25.5,2025-02-26,Bac
D02697,KH30,Sach Python,Sach,8,18.8,2025-02-08,Nam
D02698,KH04,Laptop,Dien tu,2,1610.2,2024-10-28,Trung
D02699,KH37,Giay the thao,Thoi trang,5,65.4,2024-10-27,Nam
D02700,KH23,Quan jean,Thoi trang,11,33.1,2025-01-29,Nam
D02701,KH25,May xay,Gia dung,6,37.7,2024-06-26,Nam
D02702,KH08,Quan jean,Thoi trang,11,37.1,2024-03-02,Trung
D02703,KH01,Quan jean,Thoi trang,6,36.8,2025-02-09,Bac
D02704,KH32,Quan jean,Thoi trang,7,37.6,2025-02-10,Nam
D02705,KH27,Sach Python,Sach,10,21.5,2024-11-01,Bac
D02706,KH30,Sach Python,Sach,5,18.7,2024-09-07,Bac
D02707,KH12,Noi com dien,Gia dung,3,53.8,2024-07-17,Nam
D02708,KH38,Sach Python,Sach,8,21.1,2025-02-09,Trung
D02709,KH27,Tai nghe,Dien tu,1,47.8,2025-02-18,Nam
D02710,KH22,Ao thun,Thoi trang,4,12.3,2025-01-11,Bac
D02711,KH33,Ao thun,Thoi trang,1,13.6,2025-02-01,Trung
D02712,KH07,Ao thun,Thoi trang,9,13.1,2024-09-11,Nam
D02713,KH35,Dien thoai,Dien tu,2,766.0,2024-11-20,Nam
D02714,KH12,Ao thun,Thoi trang,5,12.6,2024-12-14,Nam
D02715,KH38,Noi com dien,Gia dung,5,56.9,2024-07-06,Bac
D02716,KH21,Laptop,Dien tu,2,1492.7,2024-06-26,Bac
D02717,KH11,Sach Python,Sach,8,18.2,2024-08-31,Bac
D02718,KH03,Giay the thao,Thoi trang,10,58.2,2024-03-23,Nam
D02719,KH03,Quan jean,Thoi trang,10,35.9,2024-11-29,Nam
D02720,KH08,May xay,Gia dung,4,41.1,2024-06-22,Nam
D02721,KH24,Giay the thao,Thoi trang,4,59.1,2024-09-05,Nam
D02722,KH07,May xay,Gia dung,11,36.3,2024-05-31,Nam
D02723,KH19,May xay,Gia dung,8,42.6,2024-07-27,Nam
D02724,KH21,Sach Python,Sach,3,18.2,2024-07-31,Trung
D02725,KH20,Sach Python,Sach,9,18.5,2024-04-28,Nam
D02726,KH32,Laptop,Dien tu,2,1452.3,2025-01-06,Bac
D02727,KH11,Dien thoai,Dien tu,1,770.0,2024-05-06,Bac
D02728,KH37,Laptop,Dien tu,1,1551.5,2024-12-13,Nam
D02729,KH08,Ao thun,Thoi trang,6,11.5,2024-05-10,Nam
D02730,KH17,Ao thun,Thoi trang,6,13.7,2024-09-08,Bac
D02731,KH16,Quan jean,Thoi trang,3,35.3,2024-07-12,Bac
D02732,KH04,Noi com dien,Gia dung,10,52.4,2025-01-06,Nam
D02733,KH34,Sach Spark,Sach,3,22.9,2024-12-25,Trung
D02734,KH27,Sach Spark,Sach,10,24.4,2024-07-30,Trung
D02735,KH03,Noi com dien,Gia dung,5,56.8,2024-10-17,Nam
D02736,KH36,Laptop,Dien tu,3,1649.8,2025-01-29,Bac
D02737,KH40,Sach Spark,Sach,10,23.2,2024-03-31,Bac
D02738,KH09,Quan jean,Thoi trang,11,33.2,2024-08-02,Nam
D02739,KH40,Noi com dien,Gia dung,2,59.8,2024-10-22,Bac
D02740,KH18,Sach Python,Sach,4,20.9,2025-01-31,Nam
D02741,KH26,Tai nghe,Dien tu,2,41.6,2024-03-06,Bac
D02742,KH35,Sach Python,Sach,9,20.7,2024-04-06,Bac
D02743,KH03,Quan jean,Thoi trang,3,34.7,2024-08-24,Bac
D02744,KH25,Dien thoai,Dien tu,3,759.3,2024-12-26,Trung
D02745,KH10,Noi com dien,Gia dung,7,56.3,2024-04-05,Trung
D02746,KH06,Sach Spark,Sach,8,25.5,2024-10-11,Trung
D02747,KH09,Tai nghe,Dien tu,2,48.0,2024-03-27,Bac
D02748,KH05,Laptop,Dien tu,2,1537.1,2024-07-22,Bac
D02749,KH12,Quan jean,Thoi trang,9,32.5,2024-05-10,Bac
D02750,KH38,Sach Spark,Sach,8,26.3,2024-04-22,Bac
D02751,KH31,Quan jean,Thoi trang,6,33.0,2024-03-31,Nam
D02752,KH02,Ao thun,Thoi trang,3,12.7,2025-01-30,Nam
D02753,KH35,Tai nghe,Dien tu,3,41.5,2025-02-20,Trung
D02754,KH12,Tai nghe,Dien tu,1,41.5,2024-09-04,Bac
D02755,KH12,Sach Spark,Sach,3,26.8,2024-03-13,Bac
D02756,KH38,Giay the thao,Thoi trang,4,54.9,2024-06-30,Nam
D02757,KH11,Noi com dien,Gia dung,8,51.6,2024-10-18,Bac
D02758,KH01,Sach Spark,Sach,3,22.7,2024-11-09,Bac
D02759,KH20,Giay the thao,Thoi trang,6,63.5,2025-02-02,Bac
D02760,KH38,Ao thun,Thoi trang,7,11.7,2024-09-19,Bac
D02761,KH17,Dien thoai,Dien tu,1,862.7,2024-05-01,Nam
D02762,KH31,Ao thun,Thoi trang,4,12.5,2025-02-07,Nam
D02763,KH36,Giay the thao,Thoi trang,5,54.3,2024-09-14,Bac
D02764,KH38,May xay,Gia dung,9,39.5,2024-12-07,Bac
D02765,KH25,Ao thun,Thoi trang,9,13.5,2024-09-29,Bac
D02766,KH17,Sach Spark,Sach,5,27.1,2025-02-01,Nam
D02767,KH16,Sach Python,Sach,8,18.1,2024-05-28,Bac
D02768,KH04,Laptop,Dien tu,2,1536.1,2024-11-10,Nam
D02769,KH07,Tai nghe,Dien tu,3,41.1,2024-03-08,Bac
D02770,KH39,Noi com dien,Gia dung,11,57.0,2025-02-17,Bac
D02771,KH18,Sach Spark,Sach,10,23.6,2024-09-02,Bac
D02772,KH01,Noi com dien,Gia dung,11,59.2,2024-05-17,Nam
D02773,KH15,Quan jean,Thoi trang,10,35.5,2024-03-30,Nam
D02774,KH13,Laptop,Dien tu,1,1564.1,2024-04-21,Nam
D02775,KH17,Quan jean,Thoi trang,3,32.4,2024-06-02,Nam
D02776,KH15,May xay,Gia dung,4,43.4,2024-09-09,Trung
D02777,KH15,Noi com dien,Gia dung,9,52.6,2025-02-01,Nam
D02778,KH30,Giay the thao,Thoi trang,8,60.7,2024-08-16,Trung
D02779,KH05,Laptop,Dien tu,2,1597.9,2024-11-02,Nam
D02780,KH10,Quan jean,Thoi trang,10,31.8,2024-07-03,Nam
D02781,KH04,Sach Spark,Sach,2,22.9,2024-11-03,Nam
D02782,KH35,Giay the thao,Thoi trang,9,65.6,2024-04-24,Bac
D02783,KH06,May xay,Gia dung,1,39.5,2024-08-30,Bac
D02784,KH30,Tai nghe,Dien tu,1,47.0,2024-03-29,Bac
D02785,KH24,Noi com dien,Gia dung,8,52.4,2024-06-17,Bac
D02786,KH30,Quan jean,Thoi trang,10,37.5,2024-04-12,Bac
D02787,KH16,Giay the thao,Thoi trang,8,56.1,2025-01-30,Bac
D02788,KH28,Giay the thao,Thoi trang,7,59.2,2024-07-19,Bac
D02789,KH38,Giay the thao,Thoi trang,2,63.0,2024-05-10,Nam
D02790,KH15,Giay the thao,Thoi trang,3,58.4,2024-09-10,Nam
D02791,KH21,Tai nghe,Dien tu,1,45.3,2024-08-22,Nam
D02792,KH37,Tai nghe,Dien tu,1,44.2,2025-01-23,Bac
D02793,KH03,Giay the thao,Thoi trang,11,63.1,2024-12-10,Nam
D02794,KH31,Dien thoai,Dien tu,1,850.9,2024-08-28,Nam
D02795,KH20,May xay,Gia dung,7,37.3,2024-10-07,Trung
D02796,KH04,Noi com dien,Gia dung,9,52.3,2024-03-28,Trung
D02797,KH37,May xay,Gia dung,7,40.8,2025-02-07,Trung
D02798,KH18,Dien thoai,Dien tu,1,844.3,2025-02-01,Nam
D02799,KH09,Noi com dien,Gia dung,7,60.3,2024-05-24,Nam
D02800,KH05,Noi com dien,Gia dung,2,57.8,2025-02-07,Trung
D02801,KH18,Laptop,Dien tu,1,1467.6,2024-03-30,Trung
D02802,KH34,May xay,Gia dung,6,38.9,2024-06-28,Bac
D02803,KH32,Noi com dien,Gia dung,1,56.9,2025-01-30,Bac
D02804,KH14,Tai nghe,Dien tu,3,40.8,2024-04-18,Bac
D02805,KH33,Noi com dien,Gia dung,6,56.2,2024-05-19,Bac
D02806,KH12,Sach Python,Sach,9,19.2,2024-07-29,Nam
D02807,KH27,Sach Python,Sach,11,19.4,2024-12-28,Bac
D02808,KH16,Ao thun,Thoi trang,2,11.5,2024-09-20,Nam
D02809,KH20,Laptop,Dien tu,3,1448.4,2024-11-20,Bac
D02810,KH04,Tai nghe,Dien tu,3,46.2,2024-07-07,Nam
D02811,KH04,Laptop,Dien tu,3,1513.4,2024-05-26,Trung
D02812,KH29,Sach Python,Sach,3,21.7,2025-01-27,Nam
D02813,KH33,Giay the thao,Thoi trang,9,59.2,2024-07-23,Nam
D02814,KH18,Laptop,Dien tu,2,1521.7,2024-08-15,Bac
D02815,KH19,Tai nghe,Dien tu,3,43.2,2024-04-29,Bac
D02816,KH14,Laptop,Dien tu,3,1388.2,2025-01-03,Bac
D02817,KH17,Dien thoai,Dien tu,2,821.5,2024-12-09,Trung
D02818,KH32,Ao thun,Thoi trang,11,12.5,2024-10-14,Bac
D02819,KH26,Quan jean,Thoi trang,7,33.1,2024-04-02,Bac
D02820,KH01,Ao thun,Thoi trang,10,13.3,2024-07-02,Nam
D02821,KH18,Sach Python,Sach,9,18.4,2024-05-09,Trung
D02822,KH29,Tai nghe,Dien tu,2,47.1,2024-11-14,Bac
D02823,KH14,Sach Python,Sach,6,20.2,2024-03-22,Bac
D02824,KH24,Ao thun,Thoi trang,9,12.8,2024-11-08,Trung
D02825,KH39,Tai nghe,Dien tu,1,41.7,2024-09-09,Bac
D02826,KH38,Dien thoai,Dien tu,2,830.1,2024-04-01,Nam
D02827,KH13,Tai nghe,Dien tu,2,41.0,2024-04-19,Trung
D02828,KH09,Quan jean,Thoi trang,4,34.3,2024-05-26,Bac
D02829,KH25,Dien thoai,Dien tu,3,801.3,2024-07-02,Trung
D02830,KH23,Ao thun,Thoi trang,2,13.7,2024-11-22,Trung
D02831,KH13,Dien thoai,Dien tu,3,738.0,2024-12-04,Bac
D02832,KH02,Tai nghe,Dien tu,3,41.2,2024-06-24,Nam
D02833,KH04,May xay,Gia dung,5,43.3,2024-04-30,Trung
D02834,KH39,Ao thun,Thoi trang,5,11.3,2025-01-18,Bac
D02835,KH11,Laptop,Dien tu,3,1442.4,2024-09-14,Trung
D02836,KH09,Sach Python,Sach,9,18.5,2024-11-11,Bac
D02837,KH17,Noi com dien,Gia dung,3,49.8,2024-08-09,Bac
D02838,KH14,Giay the thao,Thoi trang,7,55.8,2024-06-29,Nam
D02839,KH12,Sach Python,Sach,2,21.8,2024-07-08,Bac
D02840,KH05,Laptop,Dien tu,2,1463.6,2024-11-03,Nam
D02841,KH21,Sach Spark,Sach,4,24.4,2024-08-24,Trung
D02842,KH30,Laptop,Dien tu,2,1506.4,2024-10-19,Trung
D02843,KH11,Ao thun,Thoi trang,4,12.9,2024-06-15,Nam
D02844,KH05,Giay the thao,Thoi trang,8,65.0,2024-08-29,Bac
D02845,KH08,Dien thoai,Dien tu,2,798.4,2025-02-05,Nam
D02846,KH08,Tai nghe,Dien tu,1,43.6,2024-11-03,Trung
D02847,KH39,Quan jean,Thoi trang,8,33.2,2024-05-17,Bac
D02848,KH26,Quan jean,Thoi trang,11,31.9,2024-08-06,Bac
D02849,KH07,Sach Python,Sach,9,21.3,2024-06-13,Bac
D02850,KH07,Tai nghe,Dien tu,2,44.4,2025-02-17,Trung
D02851,KH11,Noi com dien,Gia dung,3,59.4,2024-07-17,Bac
D02852,KH06,Sach Spark,Sach,10,22.9,2024-10-01,Bac
D02853,KH39,Giay the thao,Thoi trang,3,65.5,2024-08-29,Nam
D02854,KH11,Quan jean,Thoi trang,8,34.5,2024-12-23,Bac
D02855,KH31,Sach Spark,Sach,3,23.1,2024-07-25,Nam
D02856,KH35,Sach Python,Sach,9,18.7,2024-10-01,Bac
D02857,KH13,Laptop,Dien tu,1,1501.9,2024-03-09,Trung
D02858,KH22,Laptop,Dien tu,2,1601.7,2024-09-16,Bac
D02859,KH26,Ao thun,Thoi trang,2,11.8,2024-04-07,Bac
D02860,KH09,Laptop,Dien tu,1,1485.2,2025-01-05,Bac
D02861,KH14,Sach Python,Sach,1,18.2,2024-12-20,Bac
D02862,KH13,May xay,Gia dung,1,41.9,2025-01-16,Nam
D02863,KH15,Sach Spark,Sach,5,26.8,2024-07-17,Nam
D02864,KH33,Laptop,Dien tu,1,1569.9,2024-04-12,Trung
D02865,KH06,Dien thoai,Dien tu,3,751.1,2024-08-28,Bac
D02866,KH32,Ao thun,Thoi trang,1,13.3,2025-02-07,Nam
D02867,KH13,Tai nghe,Dien tu,3,43.0,2024-07-27,Bac
D02868,KH16,Sach Python,Sach,10,20.4,2024-09-28,Nam
D02869,KH40,Giay the thao,Thoi trang,8,65.1,2025-02-18,Trung
D02870,KH02,May xay,Gia dung,6,40.1,2024-10-04,Nam
D02871,KH31,May xay,Gia dung,7,40.0,2024-11-13,Trung
D02872,KH19,Laptop,Dien tu,3,1462.9,2024-04-08,Nam
D02873,KH06,Sach Spark,Sach,4,24.8,2025-02-03,Trung
D02874,KH21,Laptop,Dien tu,3,1527.2,2025-01-02,Nam
D02875,KH19,Sach Spark,Sach,10,26.0,2024-05-01,Nam
D02876,KH13,Giay the thao,Thoi trang,10,63.1,2024-10-25,Nam
D02877,KH04,Dien thoai,Dien tu,2,763.0,2025-01-05,Bac
D02878,KH31,Tai nghe,Dien tu,1,47.7,2024-05-31,Bac
D02879,KH04,May xay,Gia dung,4,41.1,2024-07-14,Trung
D02880,KH04,Giay the thao,Thoi trang,11,63.2,2024-04-19,Trung
D02881,KH27,Tai nghe,Dien tu,3,43.9,2025-02-21,Bac
D02882,KH01,Quan jean,Thoi trang,9,32.8,2024-08-17,Nam
D02883,KH29,Noi com dien,Gia dung,10,51.4,2024-10-07,Nam
D02884,KH08,Sach Spark,Sach,10,26.3,2024-06-20,Nam
D02885,KH35,Giay the thao,Thoi trang,3,61.6,2024-10-31,Trung
D02886,KH05,Sach Python,Sach,5,21.0,2024-11-24,Bac
D02887,KH28,Giay the thao,Thoi trang,9,62.1,2024-06-20,Nam
D02888,KH15,Sach Spark,Sach,4,26.6,2025-01-07,Nam
D02889,KH22,Laptop,Dien tu,3,1444.0,2024-05-14,Nam
D02890,KH40,Sach Python,Sach,1,19.4,2025-02-06,Nam
D02891,KH30,Dien thoai,Dien tu,2,787.5,2024-08-23,Bac
D02892,KH20,Sach Spark,Sach,5,25.8,2025-01-27,Nam
D02893,KH32,Dien thoai,Dien tu,3,870.2,2024-12-28,Nam
D02894,KH15,May xay,Gia dung,6,36.8,2024-09-30,Nam
D02895,KH06,Giay the thao,Thoi trang,9,62.4,2024-04-11,Bac
D02896,KH32,Tai nghe,Dien tu,1,45.2,2024-11-17,Bac
D02897,KH12,Quan jean,Thoi trang,6,35.2,2024-11-28,Bac
D02898,KH31,Quan jean,Thoi trang,5,35.2,2024-12-24,Bac
D02899,KH33,Tai nghe,Dien tu,2,40.6,2024-03-24,Nam
D02900,KH12,Laptop,Dien tu,1,1504.0,2024-10-04,Trung
D02901,KH36,Tai nghe,Dien tu,1,40.8,2024-06-18,Nam
D02902,KH01,Sach Spark,Sach,7,25.4,2024-06-23,Trung
D02903,KH21,Sach Python,Sach,8,19.3,2024-08-16,Bac
D02904,KH18,Dien thoai,Dien tu,1,837.5,2024-09-18,Bac
D02905,KH22,Noi com dien,Gia dung,11,51.8,2024-07-07,Nam
D02906,KH20,Laptop,Dien tu,1,1373.4,2025-02-21,Bac
D02907,KH01,Quan jean,Thoi trang,9,34.5,2024-08-02,Bac
D02908,KH15,Sach Spark,Sach,10,26.9,2024-11-10,Bac
D02909,KH32,Giay the thao,Thoi trang,10,57.3,2024-09-07,Nam
D02910,KH26,Dien thoai,Dien tu,2,829.6,2024-06-06,Nam
D02911,KH14,Giay the thao,Thoi trang,6,59.7,2024-08-20,Nam
D02912,KH05,Tai nghe,Dien tu,1,44.1,2024-03-26,Nam
D02913,KH32,Ao thun,Thoi trang,7,13.0,2024-09-19,Bac
D02914,KH16,Dien thoai,Dien tu,3,733.3,2024-10-31,Bac
D02915,KH06,Giay the thao,Thoi trang,1,56.2,2024-10-22,Nam
D02916,KH33,May xay,Gia dung,8,43.6,2024-12-19,Nam
D02917,KH35,Quan jean,Thoi trang,8,31.6,2024-10-21,Nam
D02918,KH01,Tai nghe,Dien tu,1,47.4,2024-11-16,Nam
D02919,KH16,Noi com dien,Gia dung,3,55.6,2024-11-24,Nam
D02920,KH31,Sach Spark,Sach,2,26.5,2024-05-05,Nam
D02921,KH26,Sach Spark,Sach,5,23.1,2024-11-29,Trung
D02922,KH34,May xay,Gia dung,6,43.8,2024-12-21,Nam
D02923,KH29,Sach Python,Sach,2,21.2,2024-09-01,Nam
D02924,KH35,Laptop,Dien tu,2,1406.0,2024-04-04,Trung
D02925,KH35,Tai nghe,Dien tu,1,41.7,2024-09-15,Trung
D02926,KH32,Noi com dien,Gia dung,11,57.5,2025-02-13,Nam
D02927,KH04,May xay,Gia dung,7,40.5,2024-10-20,Bac
D02928,KH15,Laptop,Dien tu,1,1437.8,2024-05-02,Bac
D02929,KH40,Sach Python,Sach,8,18.3,2024-07-08,Bac
D02930,KH05,May xay,Gia dung,6,41.7,2024-11-08,Bac
D02931,KH07,Sach Python,Sach,4,18.5,2025-01-15,Trung
D02932,KH14,Sach Spark,Sach,11,24.1,2024-06-30,Trung
D02933,KH19,Sach Python,Sach,11,19.9,2024-04-07,Trung
D02934,KH40,Tai nghe,Dien tu,1,46.3,2024-07-24,Nam
D02935,KH13,May xay,Gia dung,10,37.2,2024-06-10,Bac
D02936,KH07,Sach Python,Sach,1,19.6,2024-06-04,Bac
D02937,KH25,Giay the thao,Thoi trang,2,57.3,2024-11-24,Bac
D02938,KH18,Quan jean,Thoi trang,11,34.2,2024-03-16,Nam
D02939,KH20,May xay,Gia dung,3,40.4,2024-09-12,Nam
D02940,KH13,Sach Spark,Sach,9,26.4,2024-12-16,Trung
D02941,KH22,Noi com dien,Gia dung,1,57.9,2024-04-19,Bac
D02942,KH02,Giay the thao,Thoi trang,10,60.3,2024-08-14,Bac
D02943,KH33,Noi com dien,Gia dung,7,56.2,2024-03-01,Bac
D02944,KH03,Laptop,Dien tu,2,1353.8,2024-12-06,Bac
D02945,KH26,Ao thun,Thoi trang,11,13.4,2025-02-11,Bac
D02946,KH26,Ao thun,Thoi trang,5,12.4,2024-03-09,Nam
D02947,KH09,Ao thun,Thoi trang,4,13.2,2024-11-10,Bac
D02948,KH32,May xay,Gia dung,10,40.6,2024-05-21,Nam
D02949,KH10,Noi com dien,Gia dung,2,55.9,2024-10-28,Trung
D02950,KH05,Ao thun,Thoi trang,5,12.5,2025-01-02,Trung
D02951,KH10,Noi com dien,Gia dung,10,53.9,2024-11-01,Bac
D02952,KH36,Sach Python,Sach,6,18.4,2024-03-20,Nam
D02953,KH38,Sach Spark,Sach,10,24.1,2024-05-25,Bac
D02954,KH26,Dien thoai,Dien tu,1,781.1,2024-05-26,Trung
D02955,KH01,Ao thun,Thoi trang,8,11.7,2024-09-17,Nam
D02956,KH01,Sach Python,Sach,8,20.8,2024-10-20,Nam
D02957,KH38,Sach Python,Sach,1,19.7,2024-09-14,Nam
D02958,KH29,May xay,Gia dung,7,42.8,2024-04-12,Bac
D02959,KH19,Sach Spark,Sach,4,26.5,2024-09-02,Bac
D02960,KH32,Dien thoai,Dien tu,2,806.9,2024-09-26,Bac
D02961,KH20,Dien thoai,Dien tu,3,785.7,2025-01-04,Trung
D02962,KH28,Tai nghe,Dien tu,2,47.7,2024-10-26,Nam
D02963,KH25,Giay the thao,Thoi trang,9,58.4,2024-11-30,Nam
D02964,KH26,Laptop,Dien tu,2,1540.3,2024-08-01,Bac
D02965,KH16,May xay,Gia dung,2,41.8,2024-11-30,Nam
D02966,KH36,Dien thoai,Dien tu,1,828.3,2025-02-25,Nam
D02967,KH10,Dien thoai,Dien tu,1,791.1,2024-05-02,Nam
D02968,KH20,Quan jean,Thoi trang,9,35.4,2024-07-14,Bac
D02969,KH18,Noi com dien,Gia dung,8,53.2,2024-03-28,Trung
D02970,KH18,Laptop,Dien tu,2,1452.4,2024-05-22,Bac
D02971,KH24,Dien thoai,Dien tu,1,724.3,2024-03-11,Nam
D02972,KH13,Sach Spark,Sach,4,24.2,2024-12-27,Nam
D02973,KH20,Sach Python,Sach,1,21.7,2025-02-19,Trung
D02974,KH22,Sach Spark,Sach,2,23.7,2024-11-21,Bac
D02975,KH08,Tai nghe,Dien tu,3,41.5,2024-10-10,Nam
D02976,KH10,Noi com dien,Gia dung,6,52.7,2024-11-04,Nam
D02977,KH25,May xay,Gia dung,10,40.6,2024-10-19,Trung
D02978,KH32,Sach Spark,Sach,1,25.9,2024-04-21,Bac
D02979,KH24,Sach Python,Sach,8,20.4,2025-02-17,Trung
D02980,KH07,Giay the thao,Thoi trang,2,54.7,2024-05-10,Trung
D02981,KH16,Sach Python,Sach,6,20.1,2024-11-04,Trung
D02982,KH35,Dien thoai,Dien tu,2,853.7,2024-05-16,Trung
D02983,KH36,Laptop,Dien tu,3,1563.8,2024-07-31,Trung
D02984,KH22,Noi com dien,Gia dung,8,50.4,2024-07-10,Bac
D02985,KH28,Sach Python,Sach,8,21.7,2025-02-01,Nam
D02986,KH23,Giay the thao,Thoi trang,11,55.3,2024-07-08,Bac
D02987,KH04,Sach Python,Sach,10,20.4,2024-03-14,Bac
D02988,KH03,May xay,Gia dung,6,39.4,2024-07-22,Bac
D02989,KH01,Sach Python,Sach,7,19.6,2024-03-04,Trung
